chip_id,chip_x,chip_y,tile
chip_273_467,-87.33813822325524,34.75026383979884,16SDD
chip_120_555,-78.89321181863487,43.14219692424417,17TPH
chip_224_326,-97.86265993756396,37.996006812789574,14SNH
chip_145_497,-83.9361006636732,42.1894933114512,17TKG
chip_136_435,-88.94809629639767,43.10248097948162,16TCN
chip_118_484,-84.73183073918037,43.897433642635335,16TFP
chip_273_470,-87.1171079486275,34.733650441938515,16SDD
chip_127_503,-83.25187984873632,43.21566231579366,17TLH
chip_115_584,-76.45068399975105,43.10302398419871,18TUN
chip_168_611,-75.21745430371628,39.6505313553095,18SVJ
chip_121_566,-78.01167602336658,42.96155820581694,17TQH
chip_150_469,-86.2596238133043,42.08361588612805,16TEM
chip_108_438,-88.51709363758731,44.77089970935582,16TCQ
chip_115_567,-77.83595299167253,43.304680382404435,17TQJ
chip_257_443,-89.02258316634894,35.82622629069909,16SCE
chip_246_333,-97.29870511606592,36.68389312275992,14SPF
chip_238_335,-97.15428417680283,37.16520926835521,14SPG
chip_144_496,-84.0070481807887,42.25668802706203,17TKG
chip_233_332,-97.38902268769682,37.46260676964763,14SPG
chip_137_478,-85.40989095199248,42.802802084162046,16TFN
chip_123_579,-76.98932202821695,42.69231480852119,18TUN
chip_109_376,-93.79351300206619,44.90137926599389,15TVK
chip_116_449,-87.64487789128714,44.23476239716836,16TDQ
chip_345_468,-87.72762034363981,30.423045844278434,16RDU
chip_093_355,-95.57706260220449,45.88606137674172,14TQR
chip_221_443,-88.81861866573851,37.97951132511527,16SCH
chip_120_568,-77.83330707390417,42.99787928805438,17TQH
chip_136_485,-84.82574434653158,42.81444706715997,16TFN
chip_134_472,-85.87653238900185,43.02142597627005,16TEN
chip_041_089,-119.22836290024023,47.09508706376951,11TLN
chip_161_480,-85.46503844452994,41.35641897252372,16TFL
chip_123_446,-87.94710040982531,43.83007227938037,16TDP
chip_116_438,-88.5702342026139,44.28977868157538,16TCQ
chip_116_560,-78.4239966344915,43.3243108412208,17TQJ
chip_095_362,-94.97360933181018,45.76180403119532,15TUL
chip_171_432,-89.39811218240368,41.017966268524596,16TBL
chip_124_433,-89.04077366382568,43.831809467460445,16TCP
chip_063_352,-95.83191050992359,47.70735799941057,14TQT
chip_254_270,-102.03442815867412,36.05831188101718,13SGV
chip_121_560,-78.50022531111216,43.028558244677996,17TPH
chip_128_443,-88.23214217653828,43.545011578658965,16TCP
chip_080_347,-96.27211646302017,46.674163566399784,14TQS
chip_111_442,-88.19895636972055,44.57106329546196,16TCQ
chip_082_349,-96.09690852585028,46.55309336501019,14TQS
chip_080_349,-96.09708700982506,46.674399246641464,14TQS
chip_255_273,-101.80442388269856,36.00962655199562,14SKE
chip_099_383,-93.17190689704077,45.49415093915453,15TVL
chip_275_474,-86.83679207856014,34.59124184346174,16SED
chip_253_265,-102.41503330587352,36.098551042380606,13SGA
chip_335_500,-85.42081696087021,30.833218733769982,16RFV
chip_116_579,-76.87387488165385,43.10489176126866,18TUN
chip_319_510,-84.58652306120581,31.72335357577998,16SGA
chip_114_420,-90.07689232871938,44.4863018197909,15TYK
chip_257_445,-88.87291127714144,35.81732690251624,16SCE
chip_208_424,-90.22244723276255,38.83473484425855,15SYD
chip_218_315,-98.72540537869446,38.33971482361301,14SNH
chip_152_479,-85.46489192008636,41.90018868979749,16TFM
chip_127_482,-84.98601186210976,43.37326540006478,16TFP
chip_225_327,-97.78396961814704,37.93721201175654,14SPH
chip_183_407,-91.45601180401317,40.38707286042304,15TXE
chip_258_266,-102.31487747305985,35.80318303921311,13SGV
chip_217_335,-97.17410377954802,38.42425781018699,14SPH
chip_154_422,-90.11739855425864,42.07595042572211,16TBM
chip_115_564,-78.08124299346282,43.33875287362778,17TQJ
chip_136_487,-84.66162210383297,42.800234140381,16TFN
chip_230_275,-101.76832949006726,37.51370409467785,14SKG
chip_088_351,-95.9226269142444,46.18945222563578,14TQS
chip_106_373,-94.04384450422009,45.086468659963025,15TVK
chip_125_502,-83.31213920126201,43.34298065044579,16TGP
chip_232_329,-97.62039456640882,37.519713853975176,14SPG
chip_270_478,-86.50604808658106,34.8666365741937,16SED
chip_121_565,-78.09303482828015,42.97285096634103,17TQH
chip_180_407,-91.444534408939,40.56684005487294,15TXE
chip_125_503,-83.22960508231291,43.334942879243776,17TLJ
chip_173_413,-90.93510540446394,40.968111585414576,15TXF
chip_318_527,-83.37712658653422,31.653824288788687,17SKR
chip_214_329,-97.64429912179136,38.59876532390374,14SPH
chip_145_498,-83.85486058091442,42.18186058836618,16TGM
chip_036_148,-114.20843443634547,48.16917383711207,11UQP
chip_120_566,-77.99607865884187,43.02063743816604,17TQH
chip_118_559,-78.53628640320706,43.21701957829263,17TPH
chip_148_472,-85.99844694097261,42.18444648751103,16TEM
chip_093_364,-94.79880573326938,45.88140668759406,15TUL
chip_215_425,-90.17794133486396,38.41218263322628,15SYC
chip_144_445,-88.17556079770571,42.57579772550064,16TCN
chip_198_593,-77.0808225459374,38.11464757428882,18SUH
chip_100_390,-92.5735884903626,45.41980287353445,15TWL
chip_249_592,-77.90373405987201,35.12449585332503,18STD
chip_127_481,-85.06878295138762,43.380199790149675,16TFP
chip_113_358,-95.32982882664086,44.6764030410597,14TQQ
chip_330_503,-85.17084279726325,31.11308128728556,16RFV
chip_147_496,-84.03792626166994,42.07786013350373,17TKG
chip_117_561,-78.35753361436961,43.254069814621666,17TQH
chip_127_504,-83.16950552600747,43.20758847131862,17TLH
chip_098_386,-92.91133283464788,45.54894240504858,15TWL
chip_102_375,-93.86530922056426,45.32548848893113,15TVL
chip_207_330,-97.57545788413712,39.01940299046603,14SPJ
chip_135_360,-95.17616898498113,43.349701280555976,15TUJ
chip_250_589,-78.1367815964274,35.0993957772868,17SQU
chip_120_503,-83.17357819572595,43.633233375296356,17TLJ
chip_131_506,-83.04997150577316,42.95287585068688,17TLH
chip_259_444,-88.95885268271753,35.7020898065768,16SCE
chip_099_369,-94.37537241610777,45.5139805630657,15TUL
chip_126_445,-88.05170859219214,43.655084151686935,16TDP
chip_097_379,-93.51117551352166,45.62181453839413,15TVL
chip_273_460,-87.85423709449054,34.787403154508716,16SDD
chip_275_470,-87.13089718732523,34.614010264969274,16SDD
chip_081_354,-95.65982635240672,46.61335266777385,14TQS
chip_165_601,-75.94051567487203,39.954180810254364,18TVK
chip_320_510,-84.59504867231576,31.663441203227567,16SGA
chip_207_392,-92.71910552395607,38.98603805497976,15SWD
chip_235_445,-88.74704115609967,37.13336305990107,16SCG
chip_129_446,-87.98947240297807,43.470036555925724,16TDP
chip_138_494,-84.10834574551627,42.629555030339475,16TGN
chip_115_504,-83.03383662247037,43.92349028311229,17TLJ
chip_120_561,-78.40347382081329,43.0766500995172,17TQH
chip_139_440,-88.553885581479,42.899618006413064,16TCN
chip_319_529,-83.24562634783472,31.57793682486416,17SKR
chip_368_344,-96.42258305784647,29.34004360648539,14RQT
chip_149_264,-103.07255139450866,42.31750774061588,13TFG
chip_219_440,-89.03840128707799,38.11246199284784,16SCH
chip_144_443,-88.33975466724273,42.585582577730655,16TCN
chip_100_367,-94.5486609564339,45.45548425407891,15TUL
chip_231_276,-101.6871245947514,37.45746198470674,14SKG
chip_120_436,-88.76433539713723,44.05866572683959,16TCP
chip_118_580,-76.82582606189364,42.97496725079596,18TUN
chip_222_333,-97.32408565326118,38.12293736491816,14SPH
chip_128_478,-85.32653788167978,43.3408789622887,16TFP
chip_111_421,-89.97627479457817,44.6631486155156,15TYK
chip_269_477,-86.57245522695726,34.93237668244249,16SED
chip_248_586,-78.32845898874352,35.250890588958825,17SQV
chip_093_369,-94.36650373582594,45.87689349539168,15TUL
chip_164_526,-81.81836702131223,40.81976821647008,17TMF
chip_066_347,-96.27567051281626,47.524623824190314,14TQT
chip_119_576,-77.16701451467402,42.963807614957645,18TUN
chip_146_470,-86.14441398508136,42.31650886559164,16TEM
chip_218_325,-97.9494050122103,38.35445948187128,14SNH
chip_131_471,-85.93266868347705,43.207286595308005,16TEN
chip_084_352,-95.83514920240289,46.431766936207026,14TQS
chip_199_321,-98.29546353586126,39.48799052778055,14SNJ
chip_101_409,-90.9487216754013,45.30820979236094,15TXL
chip_220_269,-102.27850917114031,38.08929743198782,13SGC
chip_118_561,-78.37287334026942,43.19492605758349,17TQH
chip_129_478,-85.33586380129249,43.2810723914596,16TFN
chip_144_497,-83.92572195489467,42.24909913468326,17TKG
chip_087_350,-96.00951065417847,46.250055845591106,14TQS
chip_234_435,-89.50365740315397,37.23651963045794,16SBG
