chip_id,chip_coordinate_x,chip_coordinate_y,crop_per_2023,non_crop_per_2023,crop_per_2022,non_crop_per_2022,crop_per_2021,non_crop_per_2021,crop_per_2020,non_crop_per_2020,crop_per_2019,non_crop_per_2019,crop_per_2018,non_crop_per_2018,crop_per_2017,non_crop_per_2017,crop_per_2016,non_crop_per_2016,crop_per_2015,non_crop_per_2015,crop_per_2014,non_crop_per_2014,average_crop_per
chip_001_051,465390.0,1503750.0,40.48,59.52,54.42,45.58,44.15,55.85,46.87,53.13,35.53,64.47,47.35,52.65,47.0,53.0,48.12,51.88,43.47,56.53,47.06,52.94,45.445
chip_001_052,472110.0,1503750.0,53.64,46.36,53.37,46.63,48.3,51.7,52.04,47.96,44.75,55.25,55.42,44.58,52.13,47.87,52.8,47.2,51.8,48.2,47.04,52.96,51.129000000000005
chip_001_053,478830.0,1503750.0,43.72,56.28,41.82,58.18,41.37,58.63,36.68,63.32,39.8,60.2,0.0,0.0,42.81,57.19,0.0,0.0,0.0,0.0,38.09,61.91,28.428999999999995
chip_001_055,492270.0,1503750.0,45.94,54.06,47.03,52.97,58.61,41.39,48.41,51.59,49.92,50.08,49.57,50.43,51.8,48.2,44.77,55.23,43.74,56.26,45.92,54.08,48.571
chip_002_050,458670.0,1497030.0,43.69,56.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,53.0,40.01,59.99,13.069999999999999
chip_002_051,465390.0,1497030.0,53.48,46.52,54.86,45.14,59.59,40.41,47.91,52.09,44.47,55.53,55.4,44.6,51.25,48.75,48.92,51.08,55.05,44.95,51.46,48.54,52.239
chip_002_052,472110.0,1497030.0,43.62,56.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.7,62.3,8.132
chip_002_054,485550.0,1497030.0,43.83,56.17,55.32,44.68,44.92,55.08,36.77,63.23,38.7,61.3,49.23,50.77,0.0,0.0,39.54,60.46,43.34,56.66,38.33,61.67,38.998000000000005
chip_002_055,492270.0,1497030.0,50.15,49.85,53.4,46.6,49.37,50.63,42.84,57.16,44.34,55.66,46.18,53.82,45.63,54.37,44.16,55.84,44.2,55.8,45.37,54.63,46.56399999999999
chip_002_058,512430.0,1497030.0,0.0,0.0,41.15,58.85,45.86,54.14,43.45,56.55,46.12,53.88,46.32,53.68,50.51,49.49,49.73,50.27,53.02,46.98,42.23,57.77,41.839
chip_002_059,519150.0,1497030.0,45.35,54.65,0.0,0.0,44.15,55.85,47.82,52.18,46.92,53.08,44.18,55.82,59.09,40.91,50.16,49.84,64.54,35.46,50.58,49.42,45.278999999999996
chip_003_050,458670.0,1490310.0,42.71,57.29,0.0,0.0,41.91,58.09,35.48,64.52,39.65,60.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.975
chip_003_053,478830.0,1490310.0,44.88,55.12,40.69,59.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.59,54.41,40.41,59.59,0.0,0.0,0.0,0.0,17.157
chip_003_054,485550.0,1490310.0,46.23,53.77,54.17,45.83,50.54,49.46,38.3,61.7,0.0,0.0,48.97,51.03,0.0,0.0,40.9,59.1,0.0,0.0,37.37,62.63,31.648000000000003
chip_003_058,512430.0,1490310.0,0.0,0.0,0.0,0.0,46.36,53.64,38.8,61.2,35.96,64.04,0.0,0.0,45.24,54.76,42.44,57.56,60.19,39.81,0.0,0.0,26.899
chip_004_053,478830.0,1483590.0,40.87,59.13,43.22,56.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.409
