chip_id,chip_coordinate_x,chip_coordinate_y,crop_per_2023,non_crop_per_2023,crop_per_2022,non_crop_per_2022,crop_per_2021,non_crop_per_2021,crop_per_2020,non_crop_per_2020,crop_per_2019,non_crop_per_2019,crop_per_2018,non_crop_per_2018,crop_per_2017,non_crop_per_2017,crop_per_2016,non_crop_per_2016,crop_per_2015,non_crop_per_2015,crop_per_2014,non_crop_per_2014,average_crop_per
chip_015_152,1536120.0,1963260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.51,72.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7510000000000003
chip_016_151,1529400.0,1956540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.44,77.56,2.244
chip_016_152,1536120.0,1956540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.64,74.36,0.0,0.0,2.564
chip_017_152,1536120.0,1949820.0,41.26,58.74,46.48,53.52,43.8,56.2,46.57,53.43,47.13,52.87,42.23,57.77,42.33,57.67,38.82,61.18,38.05,61.95,39.92,60.08,42.659
chip_018_152,1536120.0,1943100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.96,76.04,2.396
chip_027_144,1482360.0,1882620.0,27.49,72.51,27.17,72.83,28.23,71.77,30.56,69.44,29.99,70.01,29.49,70.51,30.73,69.27,29.78,70.22,29.05,70.95,27.0,73.0,28.949
chip_028_154,1549560.0,1875900.0,0.0,0.0,27.84,72.16,27.71,72.29,28.09,71.91,28.94,71.06,29.37,70.63,29.19,70.81,26.58,73.42,26.93,73.07,22.32,77.68,24.696999999999996
chip_029_154,1549560.0,1869180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.55,73.45,27.16,72.84,0.0,0.0,22.69,77.31,7.640000000000001
chip_030_155,1556280.0,1862460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.04,77.96,2.2039999999999997
chip_031_141,1462200.0,1855740.0,30.41,69.59,31.41,68.59,27.92,72.08,32.91,67.09,34.7,65.3,35.36,64.64,35.32,64.68,30.81,69.19,28.81,71.19,0.0,0.0,28.765000000000004
