chip_id,chip_coordinate_x,chip_coordinate_y,crop_per_2023,non_crop_per_2023,crop_per_2022,non_crop_per_2022,crop_per_2021,non_crop_per_2021,crop_per_2020,non_crop_per_2020,crop_per_2019,non_crop_per_2019,crop_per_2018,non_crop_per_2018,crop_per_2017,non_crop_per_2017,crop_per_2016,non_crop_per_2016,crop_per_2015,non_crop_per_2015,crop_per_2014,non_crop_per_2014,average_crop_per
chip_064_090,1033860.0,2404740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.06,28.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.106
chip_071_068,886020.0,2357700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.68,26.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.368
chip_071_070,899460.0,2357700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.26,26.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3260000000000005
chip_072_068,886020.0,2350980.0,81.59,18.41,80.44,19.56,80.5,19.5,79.97,20.03,79.12,20.88,78.73,21.27,78.85,21.15,0.0,0.0,0.0,0.0,0.0,0.0,55.92
chip_072_083,986820.0,2350980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.52,27.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.252
chip_072_085,1000260.0,2350980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.44,28.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.144
chip_073_092,1047300.0,2344260.0,78.24,21.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.824
chip_074_072,912900.0,2337540.0,80.1,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.01
chip_074_075,933060.0,2337540.0,0.0,0.0,78.1,21.9,0.0,0.0,0.0,0.0,0.0,0.0,79.56,20.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.766
chip_074_091,1040580.0,2337540.0,81.78,18.22,78.54,21.46,0.0,0.0,81.37,18.63,74.6,25.4,78.95,21.05,0.0,0.0,0.0,0.0,0.0,0.0,77.89,22.11,47.312999999999995
chip_074_092,1047300.0,2337540.0,0.0,0.0,80.11,19.89,0.0,0.0,0.0,0.0,72.68,27.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.09,22.91,22.988000000000003
chip_075_071,906180.0,2330820.0,78.79,21.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8790000000000004
chip_075_073,919620.0,2330820.0,0.0,0.0,78.83,21.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.883
chip_075_093,1054020.0,2330820.0,81.48,18.52,77.98,22.02,0.0,0.0,80.13,19.87,76.84,23.16,78.94,21.06,0.0,0.0,0.0,0.0,0.0,0.0,77.05,22.95,47.242000000000004
chip_075_095,1067460.0,2330820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.68,28.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.168000000000001
chip_076_073,919620.0,2324100.0,89.09,10.91,90.74,9.26,84.03,15.97,82.4,17.6,80.16,19.84,81.6,18.4,81.88,18.12,0.0,0.0,0.0,0.0,77.05,22.95,66.695
chip_076_074,926340.0,2324100.0,83.31,16.69,80.75,19.25,79.99,20.01,0.0,0.0,80.59,19.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.464
chip_077_073,919620.0,2317380.0,90.79,9.21,87.39,12.61,89.26,10.74,86.69,13.31,87.52,12.48,86.55,13.45,88.63,11.37,84.03,15.97,83.66,16.34,82.52,17.48,86.70399999999998
chip_077_074,926340.0,2317380.0,91.09,8.91,88.21,11.79,87.57,12.43,86.24,13.76,79.89,20.11,83.66,16.34,82.62,17.38,84.06,15.94,78.39,21.61,82.83,17.17,84.45599999999999
chip_078_071,906180.0,2310660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.94,25.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.494
chip_078_073,919620.0,2310660.0,83.17,16.83,82.19,17.81,79.89,20.11,80.52,19.48,71.98,28.02,82.24,17.76,0.0,0.0,81.83,18.17,79.99,20.01,77.2,22.8,71.90100000000001
chip_079_070,899460.0,2303940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.21,26.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.321
chip_079_071,906180.0,2303940.0,85.91,14.09,85.77,14.23,85.33,14.67,85.15,14.85,83.32,16.68,85.73,14.27,84.67,15.33,86.05,13.95,84.73,15.27,82.72,17.28,84.938
chip_079_072,912900.0,2303940.0,79.68,20.32,80.28,19.72,0.0,0.0,0.0,0.0,77.3,22.7,80.31,19.69,0.0,0.0,79.65,20.35,78.53,21.47,0.0,0.0,47.575
chip_079_073,919620.0,2303940.0,79.08,20.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.65,20.35,0.0,0.0,80.14,19.86,0.0,0.0,0.0,0.0,23.887
chip_079_079,959940.0,2303940.0,80.67,19.33,78.67,21.33,80.72,19.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.006
chip_079_080,966660.0,2303940.0,78.23,21.77,77.9,22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.613
chip_080_070,899460.0,2297220.0,0.0,0.0,77.94,22.06,0.0,0.0,0.0,0.0,75.16,24.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.309999999999999
