chip_id,chip_coordinate_x,chip_coordinate_y,crop_per_2023,non_crop_per_2023,crop_per_2022,non_crop_per_2022,crop_per_2021,non_crop_per_2021,crop_per_2020,non_crop_per_2020,crop_per_2019,non_crop_per_2019,crop_per_2018,non_crop_per_2018,crop_per_2017,non_crop_per_2017,crop_per_2016,non_crop_per_2016,crop_per_2015,non_crop_per_2015,crop_per_2014,non_crop_per_2014,average_crop_per
chip_002_084,583380.0,2187300.0,85.45,14.55,85.5,14.5,85.68,14.32,0.0,0.0,0.0,0.0,86.7,13.3,86.05,13.95,86.14,13.86,86.24,13.76,84.75,15.25,68.651
chip_003_071,496020.0,2180580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.58,15.42,0.0,0.0,0.0,0.0,0.0,0.0,83.81,16.19,0.0,0.0,16.839
chip_003_075,522900.0,2180580.0,0.0,0.0,0.0,0.0,0.0,0.0,86.06,13.94,84.42,15.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.048000000000002
chip_004_070,489300.0,2173860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.3,15.7,0.0,0.0,0.0,0.0,0.0,0.0,83.23,16.77,0.0,0.0,16.753
chip_004_071,496020.0,2173860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.47,15.53,0.0,0.0,0.0,0.0,0.0,0.0,84.04,15.96,0.0,0.0,16.851
chip_004_085,590100.0,2173860.0,87.21,12.79,86.92,13.08,87.16,12.84,87.14,12.86,82.99,17.01,87.64,12.36,87.43,12.57,87.52,12.48,87.37,12.63,85.86,14.14,86.724
chip_004_086,596820.0,2173860.0,89.24,10.76,89.24,10.76,89.66,10.34,89.23,10.77,0.0,0.0,87.89,12.11,87.61,12.39,88.0,12.0,86.49,13.51,83.54,16.46,79.09
chip_006_076,529620.0,2160420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.53,16.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.353
chip_006_077,536340.0,2160420.0,90.21,9.79,90.14,9.86,90.91,9.09,91.34,8.66,88.93,11.07,90.9,9.1,90.87,9.13,90.73,9.27,90.55,9.45,88.78,11.22,90.336
chip_006_078,543060.0,2160420.0,89.23,10.77,89.27,10.73,89.82,10.18,90.14,9.86,84.08,15.92,90.19,9.81,90.09,9.91,89.85,10.15,89.93,10.07,89.19,10.81,89.17900000000002
chip_007_073,509460.0,2153700.0,91.55,8.45,91.5,8.5,91.97,8.03,92.44,7.56,90.46,9.54,91.76,8.24,91.78,8.22,91.72,8.28,91.68,8.32,90.84,9.16,91.57
chip_007_074,516180.0,2153700.0,91.22,8.78,91.06,8.94,91.7,8.3,92.26,7.74,88.91,11.09,91.7,8.3,91.61,8.39,91.3,8.7,91.26,8.74,90.34,9.66,91.136
chip_007_075,522900.0,2153700.0,86.15,13.85,86.11,13.89,87.29,12.71,87.79,12.21,86.49,13.51,87.87,12.13,88.06,11.94,87.7,12.3,87.47,12.53,85.82,14.18,87.075
chip_007_084,583380.0,2153700.0,87.05,12.95,86.42,13.58,87.14,12.86,87.11,12.89,0.0,0.0,87.2,12.8,86.04,13.96,87.22,12.78,87.09,12.91,84.78,15.22,78.00500000000001
chip_007_085,590100.0,2153700.0,88.99,11.01,88.97,11.03,89.12,10.88,89.76,10.24,0.0,0.0,89.7,10.3,89.68,10.32,89.55,10.45,89.58,10.42,88.95,11.05,80.43
chip_007_086,596820.0,2153700.0,92.06,7.94,92.35,7.65,92.42,7.58,92.79,7.21,0.0,0.0,92.95,7.05,92.92,7.08,92.88,7.12,92.76,7.24,92.25,7.75,83.338
chip_007_087,603540.0,2153700.0,85.45,14.55,85.31,14.69,85.6,14.4,86.17,13.83,0.0,0.0,86.65,13.35,86.39,13.61,86.4,13.6,87.05,12.95,86.06,13.94,77.508
chip_008_073,509460.0,2146980.0,89.09,10.91,88.98,11.02,89.45,10.55,89.8,10.2,89.83,10.17,89.58,10.42,89.63,10.37,89.46,10.54,89.46,10.54,88.81,11.19,89.40900000000002
chip_008_074,516180.0,2146980.0,90.46,9.54,90.35,9.65,91.06,8.94,91.6,8.4,91.07,8.93,91.08,8.92,91.14,8.86,90.67,9.33,90.69,9.31,89.91,10.09,90.80299999999998
chip_008_083,576660.0,2146980.0,85.37,14.63,85.47,14.53,85.75,14.25,86.17,13.83,0.0,0.0,86.24,13.76,86.16,13.84,85.39,14.61,85.43,14.57,85.19,14.81,77.117
chip_008_087,603540.0,2146980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.52,15.48,83.29,16.71,16.781
chip_009_071,496020.0,2140260.0,86.09,13.91,86.09,13.91,86.85,13.15,87.33,12.67,87.37,12.63,86.61,13.39,86.88,13.12,84.81,15.19,86.42,13.58,84.71,15.29,86.316
