chip_id,chip_coordinate_x,chip_coordinate_y,crop_per_2023,non_crop_per_2023,crop_per_2022,non_crop_per_2022,crop_per_2021,non_crop_per_2021,crop_per_2020,non_crop_per_2020,crop_per_2019,non_crop_per_2019,crop_per_2018,non_crop_per_2018,crop_per_2017,non_crop_per_2017,crop_per_2016,non_crop_per_2016,crop_per_2015,non_crop_per_2015,crop_per_2014,non_crop_per_2014,average_crop_per
chip_007_071,-1269810.0,2997390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.25,77.75,21.62,78.38,21.89,78.11,19.29,80.71,29.18,70.82,11.423000000000002
chip_007_072,-1263090.0,2997390.0,21.21,78.79,24.83,75.17,0.0,0.0,27.18,72.82,25.07,74.93,29.15,70.85,24.18,75.82,26.93,73.07,22.39,77.61,35.25,64.75,23.619
chip_007_073,-1256370.0,2997390.0,40.29,59.71,30.98,69.02,0.0,0.0,27.97,72.03,43.67,56.33,24.03,75.97,39.24,60.76,28.94,71.06,26.97,73.03,20.71,79.29,28.28
chip_007_074,-1249650.0,2997390.0,45.49,54.51,40.31,59.69,32.24,67.76,41.8,58.2,40.27,59.73,20.0,80.0,27.81,72.19,22.63,77.37,25.86,74.14,27.19,72.81,32.36000000000001
chip_007_075,-1242930.0,2997390.0,37.36,62.64,34.79,65.21,19.36,80.64,32.75,67.25,23.43,76.57,0.0,0.0,25.48,74.52,19.03,80.97,26.05,73.95,21.21,78.79,23.946
chip_008_071,-1269810.0,2990670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.02,70.98,2.902
chip_008_072,-1263090.0,2990670.0,23.4,76.6,24.78,75.22,21.33,78.67,26.38,73.62,26.16,73.84,19.41,80.59,18.73,81.27,26.99,73.01,17.77,82.23,30.38,69.62,23.532999999999998
chip_008_073,-1256370.0,2990670.0,26.36,73.64,25.26,74.74,0.0,0.0,25.04,74.96,21.18,78.82,0.0,0.0,0.0,0.0,18.62,81.38,0.0,0.0,0.0,0.0,11.646
chip_008_074,-1249650.0,2990670.0,32.58,67.42,30.11,69.89,27.59,72.41,21.47,78.53,23.12,76.88,0.0,0.0,19.02,80.98,0.0,0.0,21.7,78.3,18.82,81.18,19.441
chip_008_075,-1242930.0,2990670.0,29.89,70.11,24.42,75.58,20.29,79.71,26.1,73.9,24.73,75.27,0.0,0.0,23.88,76.12,0.0,0.0,21.96,78.04,0.0,0.0,17.127000000000002
chip_008_076,-1236210.0,2990670.0,40.36,59.64,36.18,63.82,24.79,75.21,39.96,60.04,39.27,60.73,0.0,0.0,24.66,75.34,28.26,71.74,25.74,74.26,35.61,64.39,29.482999999999997
chip_008_078,-1222770.0,2990670.0,40.53,59.47,41.74,58.26,28.86,71.14,42.99,57.01,36.24,63.76,19.8,80.2,19.81,80.19,27.04,72.96,18.63,81.37,23.62,76.38,29.926000000000005
chip_008_079,-1216050.0,2990670.0,0.0,0.0,27.81,72.19,27.84,72.16,29.4,70.6,25.19,74.81,0.0,0.0,24.98,75.02,21.58,78.42,19.93,80.07,0.0,0.0,17.673000000000002
chip_008_080,-1209330.0,2990670.0,20.86,79.14,24.5,75.5,26.05,73.95,18.48,81.52,26.4,73.6,18.23,81.77,25.29,74.71,18.63,81.37,0.0,0.0,0.0,0.0,17.843999999999998
chip_009_072,-1263090.0,2983950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.63,79.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.35,78.65,4.198
chip_009_075,-1242930.0,2983950.0,41.08,58.92,38.91,61.09,36.4,63.6,32.03,67.97,30.39,69.61,0.0,0.0,17.85,82.15,29.49,70.51,20.27,79.73,37.22,62.78,28.363999999999997
chip_009_076,-1236210.0,2983950.0,27.21,72.79,22.04,77.96,22.89,77.11,20.13,79.87,0.0,0.0,0.0,0.0,0.0,0.0,18.87,81.13,19.7,80.3,0.0,0.0,13.084
chip_009_077,-1229490.0,2983950.0,51.38,48.62,50.65,49.35,43.42,56.58,52.56,47.44,33.78,66.22,31.45,68.55,38.73,61.27,35.91,64.09,36.86,63.14,32.98,67.02,40.772000000000006
chip_009_078,-1222770.0,2983950.0,75.1,24.9,60.01,39.99,48.05,51.95,71.97,28.03,61.66,38.34,22.05,77.95,29.34,70.66,37.94,62.06,49.8,50.2,40.28,59.72,49.61999999999999
chip_009_079,-1216050.0,2983950.0,43.31,56.69,43.61,56.39,32.29,67.71,41.07,58.93,39.71,60.29,0.0,0.0,29.81,70.19,28.6,71.4,22.68,77.32,28.33,71.67,30.941000000000003
chip_009_080,-1209330.0,2983950.0,65.22,34.78,48.2,51.8,53.59,46.41,48.02,51.98,60.42,39.58,34.27,65.73,42.45,57.55,50.95,49.05,33.41,66.59,38.67,61.33,47.519999999999996
chip_009_081,-1202610.0,2983950.0,48.55,51.45,45.32,54.68,45.25,54.75,40.68,59.32,49.57,50.43,36.5,63.5,33.35,66.65,45.61,54.39,38.14,61.86,43.38,56.62,42.635000000000005
chip_009_082,-1195890.0,2983950.0,52.84,47.16,34.82,65.18,42.4,57.6,34.18,65.82,34.86,65.14,32.21,67.79,36.39,63.61,32.06,67.94,35.14,64.86,25.09,74.91,35.999
chip_009_083,-1189170.0,2983950.0,29.52,70.48,28.12,71.88,37.88,62.12,30.82,69.18,44.32,55.68,27.13,72.87,29.81,70.19,34.57,65.43,26.55,73.45,40.21,59.79,32.893
chip_009_084,-1182450.0,2983950.0,0.0,0.0,0.0,0.0,18.37,81.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.76,81.24,0.0,0.0,3.713
chip_009_085,-1175730.0,2983950.0,27.04,72.96,27.25,72.75,31.48,68.52,21.35,78.65,35.37,64.63,24.53,75.47,22.36,77.64,29.62,70.38,27.81,72.19,26.51,73.49,27.332
chip_009_086,-1169010.0,2983950.0,40.45,59.55,37.47,62.53,51.42,48.58,40.79,59.21,37.94,62.06,21.87,78.13,33.08,66.92,36.51,63.49,33.27,66.73,37.51,62.49,37.03099999999999
chip_010_073,-1256370.0,2977230.0,34.51,65.49,25.11,74.89,26.63,73.37,27.63,72.37,19.58,80.42,0.0,0.0,17.12,82.88,18.56,81.44,0.0,0.0,17.93,82.07,18.707
chip_010_074,-1249650.0,2977230.0,48.49,51.51,50.66,49.34,31.8,68.2,54.53,45.47,27.95,72.05,20.58,79.42,24.8,75.2,39.89,60.11,30.77,69.23,33.87,66.13,36.333999999999996
chip_010_075,-1242930.0,2977230.0,40.73,59.27,33.62,66.38,38.28,61.72,30.03,69.97,20.11,79.89,0.0,0.0,0.0,0.0,30.12,69.88,25.09,74.91,26.65,73.35,24.463
chip_010_076,-1236210.0,2977230.0,37.1,62.9,0.0,0.0,31.34,68.66,32.54,67.46,0.0,0.0,0.0,0.0,21.6,78.4,0.0,0.0,21.07,78.93,0.0,0.0,14.364999999999998
chip_010_077,-1229490.0,2977230.0,51.11,48.89,45.55,54.45,50.09,49.91,43.08,56.92,0.0,0.0,20.19,79.81,30.64,69.36,36.11,63.89,24.7,75.3,34.06,65.94,33.553
chip_010_078,-1222770.0,2977230.0,55.09,44.91,57.97,42.03,53.53,46.47,65.51,34.49,41.2,58.8,28.27,71.73,27.34,72.66,49.93,50.07,43.61,56.39,40.24,59.76,46.269
chip_010_079,-1216050.0,2977230.0,37.62,62.38,30.31,69.69,21.74,78.26,34.38,65.62,30.47,69.53,0.0,0.0,17.54,82.46,20.69,79.31,18.44,81.56,21.59,78.41,23.278
chip_010_080,-1209330.0,2977230.0,61.19,38.81,53.16,46.84,43.79,56.21,53.67,46.33,51.92,48.08,31.02,68.98,43.99,56.01,40.87,59.13,40.94,59.06,46.81,53.19,46.736000000000004
chip_010_081,-1202610.0,2977230.0,50.24,49.76,43.37,56.63,49.91,50.09,33.56,66.44,37.26,62.74,21.71,78.29,31.87,68.13,38.88,61.12,38.33,61.67,34.93,65.07,38.00599999999999
chip_010_082,-1195890.0,2977230.0,29.0,71.0,32.16,67.84,31.03,68.97,21.72,78.28,29.39,70.61,0.0,0.0,23.26,76.74,30.57,69.43,30.8,69.2,33.11,66.89,26.104000000000003
chip_010_083,-1189170.0,2977230.0,0.0,0.0,28.18,71.82,0.0,0.0,0.0,0.0,20.74,79.26,0.0,0.0,0.0,0.0,25.08,74.92,22.3,77.7,0.0,0.0,9.629999999999999
chip_010_084,-1182450.0,2977230.0,18.62,81.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.91,82.09,0.0,0.0,0.0,0.0,3.653
chip_010_085,-1175730.0,2977230.0,25.78,74.22,24.0,76.0,30.78,69.22,26.33,73.67,28.5,71.5,0.0,0.0,30.52,69.48,18.07,81.93,22.78,77.22,25.27,74.73,23.203
chip_010_086,-1169010.0,2977230.0,40.81,59.19,41.65,58.35,54.56,45.44,39.6,60.4,45.38,54.62,38.06,61.94,41.5,58.5,45.49,54.51,43.73,56.27,42.21,57.79,43.299
chip_010_087,-1162290.0,2977230.0,54.16,45.84,44.01,55.99,44.95,55.05,49.35,50.65,56.45,43.55,35.72,64.28,44.76,55.24,43.63,56.37,56.28,43.72,49.05,50.95,47.836
chip_010_088,-1155570.0,2977230.0,0.0,0.0,0.0,0.0,18.5,81.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85
chip_011_073,-1256370.0,2970510.0,33.64,66.36,34.33,65.67,32.1,67.9,27.86,72.14,31.2,68.8,22.27,77.73,25.85,74.15,28.56,71.44,18.86,81.14,28.59,71.41,28.326
chip_011_074,-1249650.0,2970510.0,30.24,69.76,22.3,77.7,24.35,75.65,28.56,71.44,20.72,79.28,17.84,82.16,19.91,80.09,22.61,77.39,18.75,81.25,21.8,78.2,22.708
chip_011_075,-1242930.0,2970510.0,28.65,71.35,0.0,0.0,24.89,75.11,21.92,78.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.546000000000001
chip_011_076,-1236210.0,2970510.0,35.59,64.41,35.32,64.68,39.16,60.84,44.4,55.6,24.63,75.37,18.98,81.02,0.0,0.0,25.98,74.02,27.73,72.27,27.56,72.44,27.934999999999995
chip_011_077,-1229490.0,2970510.0,45.26,54.74,30.56,69.44,48.56,51.44,33.54,66.46,36.88,63.12,0.0,0.0,37.35,62.65,20.62,79.38,25.15,74.85,21.54,78.46,29.945999999999998
chip_011_078,-1222770.0,2970510.0,42.02,57.98,41.94,58.06,33.02,66.98,44.68,55.32,36.08,63.92,0.0,0.0,20.99,79.01,32.31,67.69,34.12,65.88,35.83,64.17,32.099000000000004
chip_011_079,-1216050.0,2970510.0,48.93,51.07,37.4,62.6,35.84,64.16,35.67,64.33,30.99,69.01,19.31,80.69,25.84,74.16,26.99,73.01,22.05,77.95,30.64,69.36,31.366000000000003
chip_011_080,-1209330.0,2970510.0,60.57,39.43,43.7,56.3,41.67,58.33,49.17,50.83,45.86,54.14,30.02,69.98,44.36,55.64,47.46,52.54,37.39,62.61,37.53,62.47,43.773
chip_011_081,-1202610.0,2970510.0,32.66,67.34,30.64,69.36,28.76,71.24,21.43,78.57,27.47,72.53,20.4,79.6,31.85,68.15,21.05,78.95,22.04,77.96,18.5,81.5,25.48
chip_011_085,-1175730.0,2970510.0,25.01,74.99,32.39,67.61,24.1,75.9,0.0,0.0,25.58,74.42,0.0,0.0,0.0,0.0,21.9,78.1,19.8,80.2,0.0,0.0,14.878
chip_011_086,-1169010.0,2970510.0,28.56,71.44,32.99,67.01,35.47,64.53,19.55,80.45,35.6,64.4,18.54,81.46,21.35,78.65,17.61,82.39,27.68,72.32,26.83,73.17,26.417999999999996
chip_011_087,-1162290.0,2970510.0,0.0,0.0,19.5,80.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.11,82.89,0.0,0.0,0.0,0.0,19.02,80.98,5.563
chip_011_095,-1108530.0,2970510.0,27.15,72.85,38.11,61.89,35.32,64.68,35.15,64.85,44.74,55.26,34.57,65.43,33.81,66.19,38.29,61.71,28.71,71.29,42.69,57.31,35.854
chip_011_096,-1101810.0,2970510.0,24.06,75.94,0.0,0.0,22.33,77.67,21.61,78.39,23.44,76.56,0.0,0.0,0.0,0.0,20.55,79.45,0.0,0.0,0.0,0.0,11.199
chip_011_097,-1095090.0,2970510.0,0.0,0.0,19.82,80.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.982
chip_011_098,-1088370.0,2970510.0,24.13,75.87,0.0,0.0,25.29,74.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.942
chip_012_073,-1256370.0,2963790.0,19.77,80.23,18.69,81.31,20.51,79.49,0.0,0.0,21.75,78.25,0.0,0.0,0.0,0.0,18.72,81.28,0.0,0.0,20.42,79.58,11.986
chip_012_074,-1249650.0,2963790.0,21.67,78.33,20.2,79.8,25.86,74.14,19.59,80.41,24.19,75.81,0.0,0.0,21.72,78.28,27.88,72.12,0.0,0.0,23.7,76.3,18.481
chip_012_075,-1242930.0,2963790.0,22.87,77.13,28.53,71.47,22.35,77.65,24.66,75.34,21.85,78.15,0.0,0.0,19.42,80.58,24.2,75.8,0.0,0.0,23.58,76.42,18.746
