chip_id,chip_coordinate_x,chip_coordinate_y,crop_per_2023,non_crop_per_2023,crop_per_2022,non_crop_per_2022,crop_per_2021,non_crop_per_2021,crop_per_2020,non_crop_per_2020,crop_per_2019,non_crop_per_2019,crop_per_2018,non_crop_per_2018,crop_per_2017,non_crop_per_2017,crop_per_2016,non_crop_per_2016,crop_per_2015,non_crop_per_2015,crop_per_2014,non_crop_per_2014,average_crop_per
chip_019_082,-120150.0,2785770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.41,23.59,0.0,0.0,0.0,0.0,0.0,0.0,7.641
chip_024_086,-93270.0,2752170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.65,28.35,0.0,0.0,71.04,28.96,14.269
chip_025_062,-254550.0,2745450.0,73.93,26.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.393000000000001
chip_026_065,-234390.0,2738730.0,76.4,23.6,0.0,0.0,81.94,18.06,0.0,0.0,75.45,24.55,0.0,0.0,0.0,0.0,0.0,0.0,70.3,29.7,75.07,24.93,37.916000000000004
chip_027_063,-247830.0,2732010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.07,29.93,0.0,0.0,7.007
chip_027_065,-234390.0,2732010.0,0.0,0.0,0.0,0.0,75.35,24.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.534999999999999
chip_027_066,-227670.0,2732010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.01,25.99,0.0,0.0,72.06,27.94,0.0,0.0,68.16,31.84,21.423
chip_027_084,-106710.0,2732010.0,75.29,24.71,72.07,27.93,78.02,21.98,0.0,0.0,72.96,27.04,72.07,27.93,78.6,21.4,78.52,21.48,76.17,23.83,72.32,27.68,67.602
chip_028_065,-234390.0,2725290.0,78.39,21.61,0.0,0.0,83.81,16.19,0.0,0.0,73.05,26.95,81.01,18.99,79.64,20.36,81.74,18.26,80.03,19.97,81.11,18.89,63.878
chip_028_066,-227670.0,2725290.0,0.0,0.0,0.0,0.0,76.24,23.76,0.0,0.0,71.77,28.23,73.07,26.93,0.0,0.0,74.72,25.28,0.0,0.0,71.2,28.8,36.699999999999996
chip_028_082,-120150.0,2725290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.78,22.22,75.38,24.62,70.92,29.08,0.0,0.0,73.51,26.49,29.758999999999997
chip_028_084,-106710.0,2725290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.83,32.17,6.7829999999999995
chip_028_085,-99990.0,2725290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.81,30.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.47,30.53,13.928
chip_028_086,-93270.0,2725290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.81,24.19,76.52,23.48,76.24,23.76,70.61,29.39,72.57,27.43,37.175
chip_029_060,-267990.0,2718570.0,0.0,0.0,0.0,0.0,76.47,23.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.54,27.46,0.0,0.0,71.26,28.74,22.026999999999997
chip_029_065,-234390.0,2718570.0,77.61,22.39,0.0,0.0,76.35,23.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.395999999999997
chip_029_066,-227670.0,2718570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.93,27.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.293000000000001
chip_029_070,-200790.0,2718570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.53,30.47,0.0,0.0,0.0,0.0,77.45,22.55,0.0,0.0,0.0,0.0,14.698000000000002
chip_029_079,-140310.0,2718570.0,74.74,25.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.81,25.19,0.0,0.0,0.0,0.0,71.22,28.78,22.077
chip_029_082,-120150.0,2718570.0,73.66,26.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.96,27.04,0.0,0.0,0.0,0.0,70.42,29.58,72.55,27.45,28.959000000000003
chip_029_083,-113430.0,2718570.0,77.67,22.33,0.0,0.0,82.23,17.77,0.0,0.0,72.72,27.28,77.55,22.45,82.92,17.08,79.45,20.55,73.15,26.85,70.68,29.32,61.637000000000015
chip_029_084,-106710.0,2718570.0,83.45,16.55,73.54,26.46,87.33,12.67,0.0,0.0,74.89,25.11,80.78,19.22,85.77,14.23,81.8,18.2,75.98,24.02,74.57,25.43,71.81099999999999
chip_029_085,-99990.0,2718570.0,80.49,19.51,74.53,25.47,81.85,18.15,0.0,0.0,73.26,26.74,78.55,21.45,83.41,16.59,77.74,22.26,82.23,17.77,80.26,19.74,71.232
