chip_id,chip_coordinate_x,chip_coordinate_y,crop_per_2023,non_crop_per_2023,crop_per_2022,non_crop_per_2022,crop_per_2021,non_crop_per_2021,crop_per_2020,non_crop_per_2020,crop_per_2019,non_crop_per_2019,crop_per_2018,non_crop_per_2018,crop_per_2017,non_crop_per_2017,crop_per_2016,non_crop_per_2016,crop_per_2015,non_crop_per_2015,crop_per_2014,non_crop_per_2014,average_crop_per
chip_008_036,-2119650.0,2401770.0,11.47,88.53,18.66,81.34,16.51,83.49,15.74,84.26,16.02,83.98,0.0,0.0,17.86,82.14,15.99,84.01,0.0,0.0,13.77,86.23,12.602
chip_009_030,-2159970.0,2395050.0,24.38,75.62,29.63,70.37,16.52,83.48,13.84,86.16,16.88,83.12,0.0,0.0,37.48,62.52,39.79,60.21,0.0,0.0,32.3,67.7,21.082
chip_009_031,-2153250.0,2395050.0,28.74,71.26,35.56,64.44,14.36,85.64,12.54,87.46,12.71,87.29,0.0,0.0,17.1,82.9,19.21,80.79,0.0,0.0,17.95,82.05,15.816999999999998
chip_009_035,-2126370.0,2395050.0,10.03,89.97,10.07,89.93,10.11,89.89,0.0,0.0,0.0,0.0,8.73,91.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8939999999999997
chip_009_037,-2112930.0,2395050.0,31.55,68.45,30.32,69.68,39.39,60.61,32.76,67.24,31.35,68.65,26.62,73.38,42.54,57.46,36.53,63.47,0.0,0.0,21.2,78.8,29.226
chip_009_038,-2106210.0,2395050.0,15.19,84.81,15.87,84.13,15.99,84.01,16.56,83.44,17.82,82.18,22.11,77.89,22.42,77.58,22.79,77.21,0.0,0.0,19.57,80.43,16.832
chip_009_039,-2099490.0,2395050.0,0.0,0.0,0.0,0.0,9.98,90.02,14.17,85.83,14.62,85.38,21.42,78.58,21.41,78.59,21.85,78.15,0.0,0.0,21.33,78.67,12.477999999999998
chip_010_024,-2200290.0,2388330.0,13.63,86.37,13.12,86.88,15.41,84.59,15.85,84.15,15.57,84.43,15.72,84.28,16.46,83.54,13.98,86.02,0.0,0.0,14.19,85.81,13.393
chip_010_029,-2166690.0,2388330.0,9.65,90.35,11.33,88.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.69,79.31,26.44,73.56,0.0,0.0,27.1,72.9,9.521
chip_010_030,-2159970.0,2388330.0,24.31,75.69,28.54,71.46,24.15,75.85,25.14,74.86,24.4,75.6,13.55,86.45,45.42,54.58,47.91,52.09,0.0,0.0,44.29,55.71,27.770999999999997
chip_010_031,-2153250.0,2388330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.62,88.38,0.0,0.0,0.0,0.0,1.162
chip_010_035,-2126370.0,2388330.0,20.7,79.3,22.34,77.66,21.25,78.75,19.9,80.1,20.03,79.97,17.83,82.17,22.35,77.65,21.61,78.39,0.0,0.0,10.35,89.65,17.636
chip_010_036,-2119650.0,2388330.0,29.29,70.71,30.59,69.41,29.26,70.74,27.06,72.94,25.52,74.48,24.93,75.07,31.18,68.82,30.4,69.6,0.0,0.0,13.86,86.14,24.209000000000003
chip_010_037,-2112930.0,2388330.0,47.54,52.46,49.41,50.59,49.17,50.83,44.55,55.45,42.92,57.08,40.4,59.6,52.12,47.88,50.03,49.97,0.0,0.0,27.61,72.39,40.375
