chip_id,chip_coordinate_x,chip_coordinate_y,crop_per_2023,non_crop_per_2023,crop_per_2022,non_crop_per_2022,crop_per_2021,non_crop_per_2021,crop_per_2020,non_crop_per_2020,crop_per_2019,non_crop_per_2019,crop_per_2018,non_crop_per_2018,crop_per_2017,non_crop_per_2017,crop_per_2016,non_crop_per_2016,crop_per_2015,non_crop_per_2015,crop_per_2014,non_crop_per_2014,average_crop_per
chip_004_106,1417230.0,1422870.0,16.69,83.31,15.18,84.82,19.0,81.0,11.09,88.91,19.59,80.41,16.94,83.06,0.0,0.0,12.71,87.29,0.0,0.0,0.0,0.0,11.120000000000001
chip_004_107,1423950.0,1422870.0,18.16,81.84,13.7,86.3,23.68,76.32,0.0,0.0,26.94,73.06,18.12,81.88,0.0,0.0,14.46,85.54,0.0,0.0,0.0,0.0,11.506
chip_004_108,1430670.0,1422870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.73,90.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9730000000000001
chip_004_110,1444110.0,1422870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.56,91.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8560000000000001
chip_004_111,1450830.0,1422870.0,15.38,84.62,12.95,87.05,14.46,85.54,14.4,85.6,14.93,85.07,11.54,88.46,12.81,87.19,11.45,88.55,10.94,89.06,9.82,90.18,12.868
chip_004_112,1457550.0,1422870.0,13.48,86.52,10.42,89.58,9.75,90.25,8.74,91.26,10.37,89.63,11.13,88.87,11.83,88.17,0.0,0.0,0.0,0.0,6.9,93.1,8.262
chip_004_113,1464270.0,1422870.0,14.83,85.17,12.63,87.37,14.07,85.93,10.93,89.07,17.08,82.92,16.24,83.76,13.45,86.55,11.82,88.18,9.1,90.9,0.0,0.0,12.014999999999997
chip_004_114,1470990.0,1422870.0,28.21,71.79,23.89,76.11,24.4,75.6,24.47,75.53,31.06,68.94,23.96,76.04,33.85,66.15,21.8,78.2,26.23,73.77,12.19,87.81,25.006
chip_004_115,1477710.0,1422870.0,23.71,76.29,20.55,79.45,19.15,80.85,19.41,80.59,21.02,78.98,25.06,74.94,24.53,75.47,21.63,78.37,21.51,78.49,11.15,88.85,20.772
chip_005_093,1329870.0,1416150.0,0.0,0.0,0.0,0.0,10.1,89.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01
chip_005_111,1450830.0,1416150.0,0.0,0.0,0.0,0.0,0.0,0.0,9.93,90.07,13.14,86.86,12.65,87.35,0.0,0.0,11.5,88.5,0.0,0.0,7.87,92.13,5.5089999999999995
chip_005_112,1457550.0,1416150.0,0.0,0.0,9.91,90.09,0.0,0.0,9.35,90.65,9.43,90.57,0.0,0.0,9.69,90.31,0.0,0.0,8.94,91.06,0.0,0.0,4.731999999999999
chip_005_113,1464270.0,1416150.0,17.08,82.92,14.55,85.45,14.8,85.2,12.18,87.82,14.39,85.61,12.47,87.53,14.2,85.8,8.84,91.16,10.11,89.89,7.1,92.9,12.572
chip_005_114,1470990.0,1416150.0,22.16,77.84,9.94,90.06,12.4,87.6,17.98,82.02,15.88,84.12,15.6,84.4,19.86,80.14,12.46,87.54,16.67,83.33,8.34,91.66,15.129
chip_005_115,1477710.0,1416150.0,32.95,67.05,22.5,77.5,29.51,70.49,18.82,81.18,29.3,70.7,23.87,76.13,30.04,69.96,29.86,70.14,30.53,69.47,10.01,89.99,25.739000000000004
chip_005_116,1484430.0,1416150.0,21.88,78.12,20.17,79.83,20.75,79.25,15.7,84.3,18.1,81.9,19.95,80.05,21.11,78.89,23.95,76.05,19.43,80.57,13.33,86.67,19.437
chip_006_113,1464270.0,1409430.0,10.77,89.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.077
chip_006_114,1470990.0,1409430.0,15.67,84.33,20.44,79.56,17.11,82.89,14.32,85.68,19.46,80.54,18.7,81.3,18.17,81.83,17.69,82.31,12.46,87.54,10.7,89.3,16.472
chip_006_115,1477710.0,1409430.0,14.23,85.77,18.13,81.87,16.46,83.54,11.05,88.95,21.53,78.47,14.17,85.83,20.0,80.0,14.97,85.03,10.49,89.51,0.0,0.0,14.103000000000003
chip_006_116,1484430.0,1409430.0,21.73,78.27,23.29,76.71,20.32,79.68,15.37,84.63,25.01,74.99,20.0,80.0,22.42,77.58,21.24,78.76,15.2,84.8,9.39,90.61,19.397000000000002
chip_006_117,1491150.0,1409430.0,24.68,75.32,22.93,77.07,23.78,76.22,19.44,80.56,27.99,72.01,17.1,82.9,24.69,75.31,23.96,76.04,22.29,77.71,13.29,86.71,22.014999999999997
chip_006_118,1497870.0,1409430.0,14.35,85.65,14.39,85.61,14.72,85.28,11.79,88.21,18.33,81.67,18.1,81.9,14.04,85.96,16.35,83.65,10.92,89.08,14.11,85.89,14.709999999999997
chip_007_112,1457550.0,1402710.0,0.0,0.0,10.07,89.93,10.88,89.12,0.0,0.0,13.01,86.99,11.24,88.76,10.42,89.58,11.09,88.91,8.92,91.08,6.96,93.04,8.259
chip_007_115,1477710.0,1402710.0,17.92,82.08,17.78,82.22,19.02,80.98,9.88,90.12,17.29,82.71,16.5,83.5,15.52,84.48,14.01,85.99,10.35,89.65,0.0,0.0,13.826999999999998
chip_007_116,1484430.0,1402710.0,9.9,90.1,9.0,91.0,11.68,88.32,8.45,91.55,10.58,89.42,9.49,90.51,12.22,87.78,10.99,89.01,0.0,0.0,0.0,0.0,8.231
chip_007_117,1491150.0,1402710.0,17.74,82.26,16.48,83.52,18.36,81.64,19.01,80.99,19.34,80.66,19.59,80.41,20.36,79.64,17.71,82.29,14.95,85.05,11.92,88.08,17.546
chip_007_118,1497870.0,1402710.0,37.76,62.24,25.78,74.22,32.84,67.16,31.65,68.35,31.53,68.47,39.54,60.46,38.43,61.57,31.91,68.09,24.24,75.76,13.84,86.16,30.752
chip_007_119,1504590.0,1402710.0,15.62,84.38,15.29,84.71,9.52,90.48,13.47,86.53,16.81,83.19,19.11,80.89,12.11,87.89,12.53,87.47,14.4,85.6,7.62,92.38,13.648
chip_008_111,1450830.0,1395990.0,17.52,82.48,14.02,85.98,16.77,83.23,12.55,87.45,19.99,80.01,19.53,80.47,19.34,80.66,20.39,79.61,15.52,84.48,14.23,85.77,16.986
