chip_id,chip_coordinate_x,chip_coordinate_y,crop_per_2023,non_crop_per_2023,crop_per_2022,non_crop_per_2022,crop_per_2021,non_crop_per_2021,crop_per_2020,non_crop_per_2020,crop_per_2019,non_crop_per_2019,crop_per_2018,non_crop_per_2018,crop_per_2017,non_crop_per_2017,crop_per_2016,non_crop_per_2016,crop_per_2015,non_crop_per_2015,crop_per_2014,non_crop_per_2014,average_crop_per
chip_055_008,-38100.0,2561070.0,0.0,0.0,90.72,9.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.69,13.31,17.741
chip_058_009,-31380.0,2540910.0,0.0,0.0,0.0,0.0,88.15,11.85,0.0,0.0,87.57,12.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.572
chip_058_010,-24660.0,2540910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.25,10.75,0.0,0.0,0.0,0.0,0.0,0.0,88.03,11.97,17.728
chip_059_008,-38100.0,2534190.0,87.24,12.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.724
chip_060_008,-38100.0,2527470.0,87.74,12.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.84,13.16,17.458
chip_060_009,-31380.0,2527470.0,90.16,9.84,0.0,0.0,88.1,11.9,91.03,8.97,90.83,9.17,90.36,9.64,88.11,11.89,90.89,9.11,0.0,0.0,87.55,12.45,71.70299999999999
chip_061_006,-51540.0,2520750.0,89.43,10.57,0.0,0.0,88.81,11.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.824
chip_061_007,-44820.0,2520750.0,88.1,11.9,0.0,0.0,88.28,11.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.637999999999998
chip_061_008,-38100.0,2520750.0,88.18,11.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.22,12.78,88.32,11.68,26.372000000000003
chip_061_009,-31380.0,2520750.0,89.51,10.49,0.0,0.0,90.17,9.83,0.0,0.0,0.0,0.0,88.42,11.58,0.0,0.0,88.42,11.58,86.6,13.4,86.56,13.44,52.968
chip_061_010,-24660.0,2520750.0,89.73,10.27,0.0,0.0,89.82,10.18,0.0,0.0,0.0,0.0,90.2,9.8,90.15,9.85,88.26,11.74,0.0,0.0,87.24,12.76,53.54
chip_062_009,-31380.0,2514030.0,92.42,7.58,0.0,0.0,92.41,7.59,90.55,9.45,0.0,0.0,91.98,8.02,91.66,8.34,89.65,10.35,88.21,11.79,89.31,10.69,72.619
chip_062_010,-24660.0,2514030.0,89.75,10.25,0.0,0.0,89.95,10.05,0.0,0.0,0.0,0.0,88.16,11.84,90.08,9.92,89.29,10.71,89.34,10.66,88.69,11.31,62.525999999999996
chip_063_006,-51540.0,2507310.0,87.54,12.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.754000000000001
chip_063_010,-24660.0,2507310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.99,13.01,87.35,12.65,17.433999999999997
chip_064_006,-51540.0,2500590.0,91.0,9.0,0.0,0.0,89.59,10.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.059
chip_068_019,35820.0,2473710.0,0.0,0.0,0.0,0.0,88.57,11.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.31,11.69,88.59,11.41,0.0,0.0,26.547000000000004
chip_069_018,29100.0,2466990.0,0.0,0.0,0.0,0.0,91.29,8.71,89.51,10.49,0.0,0.0,0.0,0.0,88.15,11.85,90.06,9.94,0.0,0.0,0.0,0.0,35.901
chip_070_011,-17940.0,2460270.0,89.64,10.36,89.58,10.42,89.66,10.34,88.73,11.27,86.53,13.47,89.18,10.82,89.45,10.55,89.63,10.37,88.07,11.93,87.27,12.73,88.774
chip_071_013,-4500.0,2453550.0,90.24,9.76,88.56,11.44,90.33,9.67,90.16,9.84,0.0,0.0,87.97,12.03,0.0,0.0,89.0,11.0,88.15,11.85,88.22,11.78,71.263
chip_072_012,-11220.0,2446830.0,90.36,9.64,89.64,10.36,90.59,9.41,89.71,10.29,0.0,0.0,90.16,9.84,89.34,10.66,89.59,10.41,89.66,10.34,89.88,10.12,80.893
chip_073_014,2220.0,2440110.0,90.58,9.42,90.8,9.2,90.75,9.25,90.88,9.12,0.0,0.0,89.75,10.25,89.19,10.81,88.89,11.11,89.36,10.64,89.24,10.76,80.944
chip_073_015,8940.0,2440110.0,89.99,10.01,89.83,10.17,89.9,10.1,90.17,9.83,0.0,0.0,89.41,10.59,89.23,10.77,89.27,10.73,89.27,10.73,88.79,11.21,80.586
chip_074_011,-17940.0,2433390.0,88.65,11.35,88.84,11.16,89.2,10.8,88.69,11.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.87,13.13,44.225
chip_074_013,-4500.0,2433390.0,0.0,0.0,87.53,12.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.04,13.96,17.357
