tile,timestep,date,save_path,filename
T10SDH,7998,2022-01-12,HLSS30.020/,HLS.S30.T10SDH.2022012T190739.v2.0
T10SDH,7999,2022-01-22,HLSS30.020/,HLS.S30.T10SDH.2022022T190659.v2.0
T10SDH,8000,2022-01-27,HLSS30.020/,HLS.S30.T10SDH.2022027T190641.v2.0
T10SDH,8001,2022-02-01,HLSS30.020/,HLS.S30.T10SDH.2022032T190609.v2.0
T10SDH,8002,2022-02-11,HLSS30.020/,HLS.S30.T10SDH.2022042T190519.v2.0
T10SDH,8003,2022-02-16,HLSS30.020/,HLS.S30.T10SDH.2022047T190451.v2.0
T10SDH,8004,2022-02-21,HLSS30.020/,HLS.S30.T10SDH.2022052T190409.v2.0
T10SDH,8005,2022-03-08,HLSS30.020/,HLS.S30.T10SDH.2022067T190231.v2.0
T10SDJ,7648,2022-01-12,HLSS30.020/,HLS.S30.T10SDJ.2022012T190739.v2.0
T10SDJ,7649,2022-01-22,HLSS30.020/,HLS.S30.T10SDJ.2022022T190659.v2.0
T10SDJ,7650,2022-01-27,HLSS30.020/,HLS.S30.T10SDJ.2022027T190641.v2.0
T10SDJ,7651,2022-02-01,HLSS30.020/,HLS.S30.T10SDJ.2022032T190609.v2.0
T10SDJ,7652,2022-02-11,HLSS30.020/,HLS.S30.T10SDJ.2022042T190519.v2.0
T10SDJ,7653,2022-02-16,HLSS30.020/,HLS.S30.T10SDJ.2022047T190451.v2.0
T10SDJ,7654,2022-03-08,HLSS30.020/,HLS.S30.T10SDJ.2022067T190231.v2.0
T10SDJ,7655,2022-03-18,HLSS30.020/,HLS.S30.T10SDJ.2022077T190121.v2.0
T10SDJ,7656,2022-03-23,HLSS30.020/,HLS.S30.T10SDJ.2022082T185939.v2.0
T10SDJ,7657,2022-04-02,HLSS30.020/,HLS.S30.T10SDJ.2022092T185929.v2.0
T10SDJ,7658,2022-04-07,HLSS30.020/,HLS.S30.T10SDJ.2022097T185921.v2.0
T10SDJ,7659,2022-04-17,HLSS30.020/,HLS.S30.T10SDJ.2022107T185921.v2.0
T10SDJ,7660,2022-04-27,HLSS30.020/,HLS.S30.T10SDJ.2022117T185921.v2.0
T10SDJ,7661,2022-05-17,HLSS30.020/,HLS.S30.T10SDJ.2022137T185921.v2.0
T10SDJ,7662,2022-05-22,HLSS30.020/,HLS.S30.T10SDJ.2022142T185919.v2.0
T10SDJ,7663,2022-06-06,HLSS30.020/,HLS.S30.T10SDJ.2022157T185921.v2.0
T10SDJ,7664,2022-06-21,HLSS30.020/,HLS.S30.T10SDJ.2022172T185919.v2.0
